x y errorx errory
0.000000 0.763688 0.000000 0.120059
1.000000 0.745939 0.000000 0.127687
2.000000 0.753285 0.000000 0.124250
3.000000 0.764339 0.000000 0.119900
4.000000 0.764339 0.000000 0.119900
5.000000 0.764339 0.000000 0.119900
6.000000 0.764339 0.000000 0.119900
7.000000 0.764339 0.000000 0.119900
8.000000 0.764339 0.000000 0.119900
9.000000 0.779526 0.000000 0.121399
10.000000 0.774201 0.000000 0.126157
11.000000 0.762345 0.000000 0.123935
12.000000 0.778801 0.000000 0.122524
13.000000 0.762204 0.000000 0.120042
14.000000 0.766973 0.000000 0.120018
15.000000 0.764812 0.000000 0.119832
16.000000 0.762243 0.000000 0.120048
17.000000 0.762392 0.000000 0.119953
18.000000 0.762843 0.000000 0.119873
19.000000 0.770492 0.000000 0.120228
20.000000 0.772031 0.000000 0.120168
21.000000 0.764220 0.000000 0.119923
22.000000 0.764322 0.000000 0.119916
23.000000 0.764348 0.000000 0.119875
24.000000 0.764464 0.000000 0.119889
25.000000 0.764464 0.000000 0.119889
26.000000 0.764464 0.000000 0.119889
27.000000 0.764262 0.000000 0.119880
28.000000 0.764262 0.000000 0.119880
29.000000 0.764339 0.000000 0.119900
30.000000 0.764339 0.000000 0.119900
31.000000 0.760959 0.000000 0.119834
32.000000 0.760462 0.000000 0.119555
33.000000 0.764339 0.000000 0.119900
34.000000 0.764339 0.000000 0.119900
35.000000 0.764339 0.000000 0.119900
36.000000 0.764339 0.000000 0.119900
37.000000 0.759628 0.000000 0.119153
38.000000 0.766795 0.000000 0.123404
39.000000 0.766795 0.000000 0.123404
40.000000 0.783386 0.000000 0.125218
41.000000 0.763912 0.000000 0.120372
42.000000 0.763841 0.000000 0.120108
43.000000 0.765340 0.000000 0.119813
44.000000 0.765954 0.000000 0.119523
45.000000 0.758174 0.000000 0.137133
46.000000 0.765985 0.000000 0.127191
47.000000 0.778627 0.000000 0.130840
48.000000 0.803674 0.000000 0.172385
49.000000 0.803725 0.000000 0.116328
50.000000 0.757136 0.000000 0.121613
51.000000 0.755374 0.000000 0.119481
52.000000 0.737787 0.000000 0.119302
53.000000 0.795142 0.000000 0.167695
54.000000 0.762847 0.000000 0.120749
55.000000 0.765367 0.000000 0.119939
56.000000 0.767879 0.000000 0.120302
57.000000 0.760507 0.000000 0.120460
