x y errorx errory
0.000000 1.611271 0.000000 0.475234
1.000000 1.564992 0.000000 0.496325
2.000000 1.587733 0.000000 0.487648
3.000000 1.618345 0.000000 0.476201
4.000000 1.618345 0.000000 0.476201
5.000000 1.618345 0.000000 0.476201
6.000000 1.618345 0.000000 0.476201
7.000000 1.618345 0.000000 0.476201
8.000000 1.618345 0.000000 0.476201
9.000000 1.671064 0.000000 0.487478
10.000000 1.651813 0.000000 0.498778
11.000000 1.612456 0.000000 0.488745
12.000000 1.668984 0.000000 0.491105
13.000000 1.628344 0.000000 0.480356
14.000000 1.593575 0.000000 0.468214
15.000000 1.611180 0.000000 0.473435
16.000000 1.628476 0.000000 0.480383
17.000000 1.616907 0.000000 0.478318
18.000000 1.619518 0.000000 0.477632
19.000000 1.585310 0.000000 0.463930
20.000000 1.581167 0.000000 0.461473
21.000000 1.617940 0.000000 0.476219
22.000000 1.618289 0.000000 0.476238
23.000000 1.618376 0.000000 0.476130
24.000000 1.618776 0.000000 0.476219
25.000000 1.618776 0.000000 0.476219
26.000000 1.618776 0.000000 0.476219
27.000000 1.618081 0.000000 0.476108
28.000000 1.618081 0.000000 0.476108
29.000000 1.618345 0.000000 0.476200
30.000000 1.618345 0.000000 0.476200
31.000000 1.622977 0.000000 0.478870
32.000000 1.628898 0.000000 0.479835
33.000000 1.618345 0.000000 0.476201
34.000000 1.618345 0.000000 0.476201
35.000000 1.618345 0.000000 0.476201
36.000000 1.618345 0.000000 0.476201
37.000000 1.605288 0.000000 0.471770
38.000000 1.612858 0.000000 0.483514
39.000000 1.612858 0.000000 0.483514
40.000000 1.551962 0.000000 0.463841
41.000000 1.617209 0.000000 0.477530
42.000000 1.616713 0.000000 0.476644
43.000000 1.621593 0.000000 0.476292
44.000000 1.623555 0.000000 0.475639
45.000000 1.626683 0.000000 0.537556
46.000000 1.635431 0.000000 0.503393
47.000000 1.664357 0.000000 0.515416
48.000000 1.839099 0.000000 0.685902
49.000000 1.594082 0.000000 0.435522
50.000000 1.669646 0.000000 0.502562
51.000000 1.603664 0.000000 0.475771
52.000000 1.667596 0.000000 0.508311
53.000000 1.608076 0.000000 0.600589
54.000000 1.612016 0.000000 0.478156
55.000000 1.613549 0.000000 0.474490
56.000000 1.624720 0.000000 0.477251
57.000000 1.601147 0.000000 0.475537
